"day","job","Ptime","starttime","endtime"
2020/7/20 0:00:00,"JSCRMWD212_1349",4.7337962962963e-03,2020/7/20 0:05:27,2020/7/20 0:13:08
2020/7/20 0:00:00,"JSCRMWD112_1260",5.03472222222222e-03,2020/7/20 0:29:56,2020/7/20 0:37:53
2020/7/27 0:00:00,"JSCRMWD212_1349",4.72222222222222e-03,2020/7/27 0:10:29,2020/7/27 0:18:13
2020/7/27 0:00:00,"JSCRMWD112_1260",4.9537037037037e-03,2020/7/27 0:36:14,2020/7/27 0:44:21
2020/8/10 0:00:00,"JSCRMWD212_1349",4.74537037037037e-03,2020/8/10 0:09:17,2020/8/10 0:17:06
2020/8/10 0:00:00,"JSCRMWD112_1260",5.02314814814815e-03,2020/8/10 0:35:28,2020/8/10 0:43:41
2020/8/17 0:00:00,"JSCRMWD212_1349",4.79166666666667e-03,2020/8/17 0:09:38,2020/8/17 0:17:23
2020/8/17 0:00:00,"JSCRMWD112_1260",5.01157407407408e-03,2020/8/17 0:34:39,2020/8/17 0:42:46
2020/8/24 0:00:00,"JSCRMWD212_1349",4.75694444444445e-03,2020/8/24 0:12:45,2020/8/24 0:20:31
2020/8/24 0:00:00,"JSCRMWD112_1260",5.06944444444444e-03,2020/8/24 0:37:26,2020/8/24 0:45:33
2020/9/2 0:00:00,"JSCRMWD212_1349",6.94444444444444e-05,2020/9/2 23:10:20,2020/9/2 1:05:46
2020/9/11 0:00:00,"JSCRMWD212_1267",6.94444444444444e-05,2020/9/11 23:10:17,2020/9/11 1:05:45
2020/9/14 0:00:00,"JSCRMWD212_1349",4.80324074074074e-03,2020/9/14 0:12:36,2020/9/14 0:20:27
2020/9/14 0:00:00,"JSCRMWD112_1260",4.94212962962963e-03,2020/9/14 0:36:10,2020/9/14 0:44:19
2020/9/21 0:00:00,"JSCRMWD212_1349",4.76851851851852e-03,2020/9/21 0:12:34,2020/9/21 0:20:19
2020/9/21 0:00:00,"JSCRMWD112_1260",5.03472222222222e-03,2020/9/21 0:38:55,2020/9/21 0:47:07
2020/9/28 0:00:00,"JSCRMWD212_1349",4.7337962962963e-03,2020/9/28 0:15:20,2020/9/28 0:23:04
2020/9/28 0:00:00,"JSCRMWD112_1260",4.98842592592593e-03,2020/9/28 0:39:22,2020/9/28 0:47:31
2020/10/19 0:00:00,"JSCRMWD212_1349",4.79166666666667e-03,2020/10/19 0:13:32,2020/10/19 0:21:24
2020/10/19 0:00:00,"JSCRMWD112_1260",5.03472222222222e-03,2020/10/19 0:37:35,2020/10/19 0:45:44
2020/10/26 0:00:00,"JSCRMWD212_1349",4.79166666666667e-03,2020/10/26 0:16:12,2020/10/26 0:23:59
2020/10/26 0:00:00,"JSCRMWD112_1260",4.87268518518519e-03,2020/10/26 0:42:32,2020/10/26 0:50:37
2020/11/16 0:00:00,"JSCRMWD212_1349",4.75694444444445e-03,2020/11/16 0:17:41,2020/11/16 0:25:29
2020/11/16 0:00:00,"JSCRMWD112_1260",5.02314814814815e-03,2020/11/16 0:42:25,2020/11/16 0:50:40
2020/11/23 0:00:00,"JSCRMWD212_1349",4.79166666666667e-03,2020/11/23 0:17:01,2020/11/23 0:24:44
2020/11/23 0:00:00,"JSCRMWD112_1260",5.01157407407408e-03,2020/11/23 0:39:33,2020/11/23 0:47:50
2020/11/25 0:00:00,"JSCRMWD112_1299",4.6412037037037e-03,2020/11/25 0:28:12,2020/11/25 0:35:47
2020/11/30 0:00:00,"JSCRMWD212_1349",4.78009259259259e-03,2020/11/30 0:19:25,2020/11/30 0:27:09
2020/11/30 0:00:00,"JSCRMWD112_1260",4.96527777777778e-03,2020/11/30 0:45:07,2020/11/30 0:53:15
2020/12/20 0:00:00,"JSCRMWD212_1267",7.87037037037037e-04,2020/12/20 23:59:57,2020/12/21 0:01:11
2020/12/21 0:00:00,"JSCRMWD212_1349",4.74537037037037e-03,2020/12/21 0:21:55,2020/12/21 0:29:40
2020/12/21 0:00:00,"JSCRMWD112_1260",5.05787037037037e-03,2020/12/21 0:46:48,2020/12/21 0:55:02
2020/12/27 0:00:00,"JSCRMWD212_1267",1.71296296296296e-03,2020/12/27 23:59:55,2020/12/28 0:02:42
2020/12/28 0:00:00,"JSCRMWD212_1349",4.81481481481481e-03,2020/12/28 0:23:56,2020/12/28 0:31:45
2020/12/28 0:00:00,"JSCRMWD112_1260",4.91898148148148e-03,2020/12/28 0:48:12,2020/12/28 0:56:22
2021/1/25 0:00:00,"JSCRMWD212_1267",5.40509259259259e-03,2021/1/25 0:03:08,2021/1/25 0:11:44
